Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,19.72438406944275,1,1,11
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,19.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,18.855722555336577,18.197246313095093,1,1,11
adult,111,0,EfficientBFS,density_gap,False,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,18.687740564346313,1,1,11
adult,111,0,EfficientBFS,density_gap,True,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,19.210843086242676,1,1,11
adult,111,0,EfficientBFS,probing,False,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,18.929999351501465,1,1,11
adult,111,0,EfficientBFS,probing,True,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,19.023284196853638,1,1,11
adult,111,0,EfficientBFS,traditional,False,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,18.877075910568237,1,1,11
adult,111,0,EfficientBFS,traditional,True,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,19.289057731628418,1,1,11
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,19.82404088973999,1,1,11
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,20.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,19.972442346931373,19.1481876373291,1,1,11
adult,111,0,EfficientBFS,density_gap,False,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.990007162094116,1,1,11
adult,111,0,EfficientBFS,density_gap,True,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,19.195688247680664,1,1,11
adult,111,0,EfficientBFS,probing,False,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,18.889461517333984,1,1,11
adult,111,0,EfficientBFS,probing,True,ub2,d,21.0,0.95,AdultIncomeFeatureSelection,9.210340371976184,20.88785997610681,19.48660945892334,1,1,11
